id	phrase	reviewIds	examples sentence fragments
285	are n't short	80	tops fit well and are n't short like many of
286	tight tight tight armholes	10	good everywhere else but tight tight tight armholes it was good
287	bigger	3	i bought two sizes bigger but it still
288	form fitting	137	fade quickly it is form fitting but not tight
289	sleeves shrunk	327	the first washing the sleeves shrunk so they fit
291	high for the price	50	fabric and stitch was high for the price
292	like it so well	155	in several colors i like it so well
293	true to photo	118	is very pretty and true to photo
294	fits comfortably	139	's really soft and fits comfortably not to mention
295	fast shipping	393	fast shipping good quality and will work
296	go with anything	377	the style can go with anything and is comfortable
297	butt	187	perfect nearly perfect bubbly butt the thong cut
298	too thick	98	this the cotton was too thick for my personal
299	size was perfect	378	it turns out the size was perfect the top is
300	fit was ok	309	the fit was ok i did n't
301	good product	33	just what i wanted good product in every way
302	easy care	109,30	of their quality and easy care they come out,easy care nice clot
304	wo n't stretch	135	that way so it wo n't stretch out as quickly
305	easy to maintain	57	very crisp shirt and easy to maintain i will be
306	second time	358	fell apart after the second time i washed it
307	step down one size	40	the colors and will step down one size nevertheless i can
308	excellent fit	240	excellent fit and quality
309	loved the colors	16	i loved the colors and patterns in
310	okay	306	to iron fit was okay
311	somewhat fitted	390	with no pocket still somewhat fitted but not too
312	very beautiful	492	and the product is very beautiful i would recommend
313	fabric shrunk	490	then became unwearable the fabric shrunk so much that
314	best shapewear	412	this is the best shapewear the bust area
315	way to small	119	a large it is way to small did n't want
316	very decent	54	quality and fabric is very decent but as soon
317	every	420	them and wears them every day the loops
318	snag	25	the ribbon it will snag and get mixed
319	not tight	137	is form fitting but not tight color as expected
320	cool top	340	cool top for work or
321	soft and comfortable	35	this is so soft and comfortable yet shapely great
322	cool and comfortable	288	the house and keep cool and comfortable all summer long
323	looks expensive	418	fabric low priced but looks expensive beautiful color highly
324	too sheer	56	iron it was also too sheer for me to
325	dries nicely	150	washes and dries nicely fit true to size
326	shirt quality	54	the shirt quality and fabric is
327	only issue	464	7 now but the only issue i have with
328	winter	2	have worn them for years especially in the winter
329	fit true to size	150	washes and dries nicely fit true to size
330	comfortable fit	423,11	is a comfortable fit,good quality fabric comfortable fit love it
331	dissatisfied	371	have not ever been dissatisfied with anything i
332	up a size	65	highly recommend anyone to up a size they seem to
333	kinda big	96	in the material and kinda big the neck does
334	quick	453	you they were very quick to issue me
335	did n't like	347	wife did n't like it so we
336	curves	73	fits a women 's curves it was very
337	unfair	368	7.95 off my return unfair in my opinion
339	did n't stay tucked	3	it still road up did n't stay tucked
340	my size	239	for a leotard in my size that fits me
342	nice fitting	233	nice fitting cami for a
343	washed dried without shrinkage	340	for work or play washed dried without shrinkage
344	fit like tailored shirts	163	ordered five more these fit like tailored shirts which i love
345	makes me look skinnier	443	fits perfect makes me look skinnier
346	beautiful top	256	beautiful top i got the
347	made to last	74	this shirt was made to last im happy with
348	rolled	470	bottom hem is now rolled a bit you
349	looking like	281	i ends up looking like a maternity top
350	problem	454	it looked great the problem came when i
351	summer	487	thin material good for summer flows nicely
352	fitted shape	98	straight shape than a fitted shape
353	just what i wanted	302	just what i wanted
354	buying again	20	i will certainly be buying again from gotapparel again
355	flowy perfect	470	shirt is thin and flowy perfect for throwing on
356	amazon	71	them being sold on amazon others from a
357	4 stars	61	4 stars because the wrists
358	convenient	275	shopping amazon it is convenient and the products
359	not crazy	113	not crazy about the material
360	sent back	293	sent back because it was
361	tube tops	14	hesitant on buying any tube tops at my age
362	scratchy at first	162	perfect fit it was scratchy at first washed and ironed
363	navy	61	this shirt with a navy colored skirt i
364	maternity top	281	up looking like a maternity top
365	bit larger	284	wish it were a bit larger i 'd have
366	very dissatisfied	499	size strapless i was very dissatisfied false advertising
367	great cotton blend	224	of dryer right away great cotton blend shirts
368	be warned	62	to wear it out be warned about the length
369	different from the picture	486	seemed like it was different from the picture in the way
371	everyday	409	i would wear it everyday i usually wear
372	sufficiently loose	476	coo l comfortable and sufficiently loose to exercise comfortably
373	highly suggest	417	uncomfortable or hot i highly suggest this product
374	top fit	202	the top fit my well with
375	year	496	had it nearly a year now and it
376	no where	258	is very flowy and no where is it fitting
377	not itchy	160	fabric is ok and not itchy or hot not
378	on time delivery	469	on time delivery the fit is
379	thin badly made	404	it is a thin badly made black tube too
380	great date	142	its a great date or girls night
381	bottom	464	roll up at the bottom all the time
382	very flowy	258	top the rest is very flowy and no where
383	not worn	321	i have not worn it yet but
384	ugly	484	ugly scrubs top not
385	nice drap	21	nice drap used sreamer to
387	loves them	420	blouses for work she loves them and wears them
388	it did	316	a little freely and it did
389	good for curvy	450	good for curvy girls looks both
390	expensive	284	sending something back is expensive and a pain
391	pick randomly	248	to learn they just pick randomly and that is
392	larger than	181	it was larger than i expected
393	looked like new	271	hung it up it looked like new
394	much too large	149	house because it 's much too large
395	crocheting was	491	the crocheting was already unraveling before
396	coarser	104	beige the material was coarser than i thought
397	best	13,380	of both worked the best,this tank top is the best
398	thicker than most	380	best fits perfectly and thicker than most burnout tanks love
399	no iron	31	work washed and dried no iron needed the shirt
400	fit beautifully	62	7 and the shirts fit beautifully very true to
401	way too large	53	but the blouse is way too large 12-14 large totally
402	easy to clean	283	this blouse was easy to clean & looked great
403	too long	324	expected it is way too long looks like a
404	reorder	66	comfortable nice fabric will reorder as many as
405	fitting	258	no where is it fitting
406	works	338	for summer layering it works very well i
407	false advertising	499	i was very dissatisfied false advertising
408	quickly	70	me with my order quickly and i was
409	ran a little small	409	reviews some said it ran a little small so i ordered
410	un raveled	15	it un raveled the first week
411	not a plus size	208	not a plus size top
412	love them	345	of these shirts and love them i wear them
413	work great	332	auto parts so they work great i love the
414	so comfy	262	has great stretch and looks great so comfy
415	very smooth comfortable	384	this is a very smooth comfortable and yes cool
416	fits really tight	357	others be wary this fits really tight in the stomach
417	must	412	comfortable this is a must for middle control
418	quality made	314	fits nicely and is quality made like everything else
419	pleasantly surprised	14	and weight i was pleasantly surprised that the top
420	delivered promptly	194	as expected it was delivered promptly great product
421	shirt is nice	210	this shirt is nice the fit is
422	armholes bigger	249	different neck lower and armholes bigger i can still
423	looks pretty good	266	it fits well and looks pretty good
424	good fit	137,343	good fit i got a,nice color good fit
425	washes well	278	a very comfy shirt washes well and did not
427	returned the item	206	cups loozed cheap i returned the item
428	bling looked great	446	the little bit of bling looked great
429	breathable	402	since it is so breathable it 's a
430	much larger	381	's very nice but much larger than i expected
431	freely	179	chest will fit in freely because the material
432	roll up at	464	with them is they roll up at the bottom all
433	little bit bigger	13	it were just a little bit bigger but since it
434	shirt lasted one wash	250	shirt lasted one wash very cheaply made
435	looked cheap	294	returned it said it looked cheap
436	came unsewn	122	strap on one shoulder came unsewn after a couple
437	replacements	345	replacements for these the replacements are much tighter
438	cheapest	404	this was the cheapest most worthless thing
439	nothing wrong	366	nothing wrong with the product
440	only look good	187	buyers thong body suits only look good on you if
441	not faded	254	nicely the color has not faded have washed it
442	child	116	is more like a child 's large
443	shipping speed	193	love it and the shipping speed was faster than
445	dirty	76	was both large and dirty when it came
446	regular	191	special about the shirt regular quality colorful and
447	comfortable lightweight	418	comfortable lightweight fabric low priced
448	shapely great	35	soft and comfortable yet shapely great alone or as
449	love love love	71	love love love this shirt i
450	fits fine	136	buying a large which fits fine
451	received many compliments	257	pale ocean the outfit received many compliments
452	scratchy went away	162	ironed it and the scratchy went away
453	shrinks	51	too small if it shrinks when i wash
454	ordered	92	sent them back and ordered an xlarge you
455	fit like	197	the 3x and it fit like a regualr large
456	fit is small	133	the fit is small and the tank
457	iron free	39	all ------ it 's iron free yeah it 's
458	free shipping	368	and the magazine offers free shipping and free return
459	fit perfect	280,251	love this top it fit perfect and got lots,this blouse is beautiful fit perfect
460	cleavage covers	419	am happy with the cleavage covers but i should
461	ruined	89	and then it gets ruined in the wash
462	fakey polyester	145	the material is fakey polyester and the sizing
463	plenty room	289	my arms it had plenty room in tummy and
464	stays snug	179	tank top the bottom stays snug to your clothes
465	slip down	382	has the tendency to slip down
466	good cotton inexpensive	39	yeah it 's a good cotton inexpensive oxford shirt that
467	inexpensive	156	if you need a inexpensive white shirt to
468	bra	138	a little differently the bra was way too
469	fits large	68	preschool i teach at fits large just like the
470	hugs	449	form fitting so it hugs the body i
471	good quality fabric	11	good quality fabric comfortable fit love it
472	cuts off	10	will it just about cuts off the circulation i
473	not happy	364	a size bigger but not happy i did it
474	faded drastically	328	warm and the color faded drastically after just one
476	ordered a size smaller	419	but i should have ordered a size smaller
477	huge	364	i did it 's huge still it 's
478	many	54	did n't have very many darts in it
479	soft and flowy	236	fits great and very soft and flowy i got many
480	nice high quality	170	this is a nice high quality blouse it is
481	boob shirt	298	it 's totally a boob shirt so if you
482	years	2	have worn them for years especially in the
483	love this tank	449	i love this tank it has such
484	gave it away	465	i gave it away
485	send back	12	small so had to send back
486	uncomfortable	387	very stiff scratchy and uncomfortable
487	hanging off me	54	it on it was hanging off me i ordered a
488	soothing	378	fabric is soft and soothing to my tortured
489	great service	372,342,319	fit love the shirts great service,excellent job great service
490	needs less ironing	230	60 % polyester it needs less ironing but not as
491	casual	214	wear to work as casual wear i am
492	never came	173	's non existent it never came
493	all fit	138	ordered three colors and all fit a little differently
494	what i needed	288	just what i needed to wear around
495	excellent job	342	excellent job great service
496	snug up top	258	this top is only snug up top the rest is
497	was huge	328	blue and the shirt was huge i washed the
498	medium was perfect	390	but busty and a medium was perfect
499	folds gone	40	and all wrinkles and folds gone after the first
500	n't	466	say is you ca n't really wear it
501	return	325	too will have to return it
502	wear every chance	428	wear every chance i get thank
504	recommending	70	be buying again and recommending this shirt to
505	bought 2 more	329	so much that i bought 2 more in different colors
506	ride up smooth	179	grip and does n't ride up smooth and tight made
507	looks very good	22	back after washing and looks very good
508	no zipper	26	shirt and there is no zipper in the bottom
509	feel good	168	to wear you just feel good in it it
510	looks lovely	360	loose but banded it looks lovely on
511	cute design	453	cute design but unless you are
512	fine love	68	a belt it was fine love the other things
513	to short	111	this shirt is to short and i do
514	poor quality	73	basic school uniform shirt poor quality it did not
515	but	48	i like the shirt but received the wrong
516	absolutely love foxcroft shirts	101	i absolutely love foxcroft shirts they really are
517	goodwill	45	shirts so into the goodwill bag it went
518	nicely made	304	nicely made but runs just
519	launders nice	28	launders nice fits true to size
520	stiff scratchy	387	the fabric is very stiff scratchy and uncomfortable
521	slim	87	this fit perfectly --> slim tight comfortable and soft
522	skin	253	feels great on the skin very pretty blue
523	priced	398	are well made though priced a bit high
524	the best	110	foxcroft shirts are the best that 's all
525	professional look	148	this gives a totally professional look to any outfit
526	terrible fit	415	terrible fit not a xxl
527	armholes	325	purchased one of the armholes was larger than
528	oddly constructed	355	's just so very oddly constructed and so very
529	great buy	460	's chest but a great buy
530	picture	196	is just like the picture
531	low priced	418	comfortable lightweight fabric low priced but looks expensive
532	not one complaint	449	the body i have not one complaint about the tank
533	very hard to iron	306	disappointed in the fabric very hard to iron
534	large enough	301	large enough to satisfy my needs
535	fits me well	239	in my size that fits me well so i can
536	fabric is nice	422	go as planned the fabric is nice but a little
537	true to size but	62	shirts fit beautifully very true to size but they are very
538	wish it were	284	a pain but i wish it were a bit larger
539	misled	53	large 12-14 large totally misled
540	was n't comfortable	486	i was n't comfortable in this style
541	nothing special	191	nothing special about the shirt
542	wear well	169	they wash well and wear well they do not
543	tad long	354	the sleeves were a tad long but its very
544	toooo big	368	shipping and these are toooo big and they said
545	okay with it	72	for someone else are okay with it
546	terriffic	297	on the color is terriffic and it looks
547	washed well	300	ok everyday top washed well
548	able to wear	389	i have not been able to wear it
549	reshelvfing fee	337	that there was a reshelvfing fee what a way
550	addition	148	make a nice neutral addition to any wardrobe
551	coolness	336	like the comfort and coolness of the cotton
553	great looking	490	this was a great looking shirt until i
554	fell apart	358	fell apart after the second
555	costume	404	cheap child 's halloween costume
556	casual and dressy	450	curvy girls looks both casual and dressy depends on jewelry
557	prefect	293	it was n't the prefect tank it was
558	great for the gym	470	still comfy though and great for the gym especially for the
559	supports	412	a binder on it supports both tummy and
560	should n't fade quickly	137	it 's stretchy and should n't fade quickly it is form
561	hides my tummy	460	very comfortable and hides my tummy flattens the look
562	x small fit perfect	38	the x small fit perfect thank goodness even
563	loved this shirt	329	i loved this shirt so much that
564	no lining	395	picture but there is no lining
565	nice smooth base	84	me it is a nice smooth base layer i am
566	buttons kept unbuttoning	192	it shrank but the buttons kept unbuttoning which is not
567	next day	31	order was delivered the next day the shirts were
568	black	447	gon na get a black one too
569	not listed	452	work those pads are not listed in the description
570	patterns	16	loved the colors and patterns in this camp
571	too many buttons	335	fits well too many buttons other than that
572	price was good	56	brand i guess the price was good however
573	worthless	404	was the cheapest most worthless thing i have
574	great tank top	467	great tank top i have ordered
575	very long	62	size but they are very long i would consider
576	just to long	220	for work they are just to long i ca n't
577	very thin material	487	spaghetti top under it very thin material
578	review	132	i already wrote a review
579	surprisingly cool	31	and was comfortable and surprisingly cool all day long
580	looks	144	looks and fits great
581	nothing like	361	all it really looked nothing like i expected the
582	less expensive	2	but they are much less expensive on the net
583	before	44	purchased devon and jones before i like there
584	feels great on	253	material is so soft feels great on the skin
585	excellent	492	the service is excellent and the product
586	disappointing	183	in it that was disappointing but it fits
587	better if it fit	207	would like it better if it fit
588	quality products	374	pretty and quality products but way too
589	bit thin	120	the straps are a bit thin
590	faster	193	the shipping speed was faster than i expected
591	absolutely excellent shirt	219	absolutely excellent shirt i plan to
592	scratchy	256	it to be so scratchy and almost thick
593	run big	314	their clothes tend to run big so i ordered
594	returned it	488	i returned it because it was
595	look	406	than i thought the look is pretty boxy
596	ironing	231	needs ironing and hard to
597	thick material	31	day long despite the thick material i love the
598	not shrink	278	washes well and did not shrink
599	little too short	494	top is just a little too short in length otherwise
600	very pretty	4	the color was a very pretty and flattering emerald
601	very different	249	same unfortunately they are very different the fabric is
602	amazing	480	fit and feel are amazing but in this
603	quality of	56	was disappointed in the quality of the fabric i
604	fit nicely	171	a large and it fit nicely hope it did
605	pretty long	429	very cute and last pretty long
606	this is it	156	white shirt to wear this is it if you hate
607	pretty boxy	406	thought the look is pretty boxy
608	slims me out	439	slims me out the material is
609	plus size strapless	499	this is not a plus size strapless i was very
610	long	97	is not snug or long as it appears
611	sleeves	354	love it the sleeves were a tad
612	definitely comfortable	463	this tank is definitely comfortable i 'm 5ft
613	feminine	46	in fabric and cut very nice feminine
614	will order more	312	nice shade of pink will order more in other colors
615	would	91	is as described i would totally order again
616	40dd	13	and it fit my 40dd breast size i
617	does n't flow	408	design looks good by does n't flow at all giving
618	smooth everything out	414	u want it to smooth everything out it looks great
621	the colors	23	fabric the price and the colors
622	fits true	28	launders nice fits true to size
623	too high cut	185	back is too high cut yes its a
624	looked stunning	205	fit really good and looked stunning defiantly a shirt
625	sometimes too tight	23	120 lbs shoulders are sometimes too tight for me in
626	all wrong	408	giving it to goodwill wash will shrink all wrong sorry
627	it shrank	192	washed the shirt and it shrank but the buttons
628	sale	157	all it was on sale
629	extra small	126	the fit was like extra small i will never
630	differently	138	all fit a little differently the bra was
631	not bright	270	colors were darker definitely not bright like the model
632	just what i needed	220	the shirts are just what i needed for work they
633	never write reviews	31	i never write reviews but i had
634	lightweight	462,500	are so cool and lightweight the colors are,lightweight comfortable and looks great
635	great quality shirt	108	great quality shirt that fits great
636	looked horrible	270	way too big and looked horrible back it went
637	washes very well	444	the stones and it washes very well will come back
638	little freely	316	it would fit a little freely and it did
639	does	179	in rubbery grip and does n't ride up
640	every way	33	wanted good product in every way
641	little roomy	216	color fits nicely a little roomy but has a
642	waist	10	fit in the bust waist was fine but
643	weak thin	96	soft but a bit weak thin in the material
644	would wear	87	comfortable and soft i would wear this whenever
645	great fabric	114	great fabric and fit just
646	roo big	107	it because it was roo big
647	good style	308	plus size fabric is good style is great happy
648	circulation	10	about cuts off the circulation i do n't
649	drape and fit	479	like the shirt 's drape and fit this is thin
650	did n't have	54	blouse but this really did n't have very many darts
651	still too big	389	unfortunately this top is still too big and i have
652	was n't long enough	209	only downfall was it was n't long enough for my turso
653	would like	207	would like it better if
654	small side	469	fit is on the small side
655	uniform	73	was a basic school uniform shirt poor quality
656	makes	388	your devotion it really makes a statement
657	fit is great	248	worked just fine the fit is great and did not
658	delcious	483	of the blouse is delcious
659	buy more	17	feels great i will buy more
661	stayed in place	421	they worked fine and stayed in place and you do
662	see	91	of lines you can see through the shirt
663	very happy with	383	every color i am very happy with the fit fabric
664	off	204	sizing is so far off i saw the
665	dry	411	easy to wash and dry
666	see thru	404	too with the glittery see thru top half attached
667	stomach	357	really tight in the stomach area with very
668	fabulous	261	size the color is fabulous i highly recommend
669	sharp looking	230	ironing but not as sharp looking
670	runs large	320	i purchased the top runs large order a smaller
671	definitely worth purchasing	353	underside of the sleeves definitely worth purchasing as long as
672	displeased quality	93	item i was very displeased quality is that of
673	happy summer shirt	308	style is great happy summer shirt
674	looking for	308	just what i was looking for in a plus
675	lumpy areas	413	will smooth out obvious lumpy areas but that 's
676	sexy	25,268,365	fits comfortably and its sexy the only thing,comfortable sexy colorful,very cute sexy wish i got
677	dried	271	day it washed and dried very well hung
678	size larger	130	small so order a size larger for comfort they
679	ok	300	ok everyday top washed
680	worth	105	quality material well worth the money
681	very excited	389	i was very excited to receive this
682	thin material	313	a little thin material and they are
683	would not exchange	242	normal comfort colors they would not exchange for larger size
684	beautiful shirt	400	beautiful shirt slightly too small
685	as described	91,229	about this undershirt is as described i would totally,was just as described fit as expected
686	boobs	466	it fits around my boobs 38 d and
687	great summer	41	great summer weight shirt
688	up the size	422	a c cup bump up the size so that everything
689	ok overall	481	'd hoped for but ok overall
690	nice design	241	nice design but runs small
691	gap	31	does n't pull or gap at the chest
692	way too big	337	aok but it was way too big i. was happy
693	different	26	very different from the pictures
694	send it back	459	the shirt planning to send it back since it is
695	fashion	484	scrubs top not a fashion top made of
696	spectacular	282	awesome shirt it looks spectacular on and i
697	clinging	441	rolls hanging out and clinging to your body
698	one size does not fit	78	one size does not fit all
699	wrinkles	40	just fine and all wrinkles and folds gone
700	tunic	62	consider this more a tunic than a blouse
701	never order	126	extra small i will never order clothing from amazon
702	very soft	128,475	cami to be also very soft and fits well,size were as described very soft love the fit
703	came on time	74	with it and it came on time
704	very mysterious	443	look skinnier and is very mysterious
705	thin but durable	130	for comfort they are thin but durable
706	rather large	56	this blouse ran rather large for me i
707	color not	217	the color not what i expected
708	blocky and big	73	curves it was very blocky and big
709	love everything	489	i just love everything i have bought
710	good color	95	good color and feel
711	flowy cool fabric	461	170lbs i love the flowy cool fabric and the cute
712	price is right	44	and style and the price is right
713	worth every penny	439	material is comfortable too worth every penny
714	with holes	391	received it with holes
715	really like	59	i really like the blouse i
716	pain to worry about	366	just more of a pain to worry about than i thought
717	perfectly fine	397	and it fits me perfectly fine the lace is
718	count	230	i can always count on van heusen
719	another brand	56	it i will try another brand i guess the
720	see through fabric	472	see through fabric i wear a
721	thread broke very upset	399	it stretched and the thread broke very upset that the quality
722	deal of a lifetime	66	the price is the deal of a lifetime
723	very cool	271	of blue it is very cool and comfortable for
724	buy again	369	favorite shirt i would buy again but in a
725	versatile	421	because these are more versatile than the polyester
726	more	475	going to order 2 more
727	sent it back	408	should of sent it back it looked so
728	perfectly	70	a medium fits me perfectly 5 10 220
729	certainly	20	4 days i will certainly be buying again
730	it 's great	379	it 's great thank you
731	return them	299	i am going to return them
732	comfortable material	347	nice color comfortable material and a nice
733	n't look	277	it did n't look at all like
734	recommend 100 %	178	find them in stores recommend 100 %
735	super fast shipping	187	super fast shipping even without prime
736	more consistent	37	bummer wish it were more consistent but the colors
737	does not fit	94	does not fit my bust well
738	statement	388	it really makes a statement
739	5 stars	18	would 've given it 5 stars for sure but
740	inferior product	491	cute but is an inferior product or i just
741	bra exactly	121	can wear without a bra exactly what i was
742	little big	268	they are a little big
743	included	209	the necklace that was included the only downfall
744	cotton	98	n't love this the cotton was too thick
745	flows nicely	338,487	shirt is light and flows nicely around the body,thin material good for summer flows nicely
746	fit really good	205	her birthday gift it fit really good and looked stunning
747	ribbon out	25	everytime but take the ribbon out and wash it
748	consider buying	59	online but definitely would consider buying from this company
749	not very firm	413	a tummy it is not very firm or slimming if
750	very beautiful shirt	209	very beautiful shirt i liked the
751	quality is fine	67	some shape otherwise the quality is fine
752	ruined in	18	and then it gets ruined in the wash
753	like it so much	288	hot hawaiian day i like it so much i ordered another
754	fit like a glove	440	this little camisal fit like a glove from the first
755	online	59	buy clothes every often online but definitely would
756	great stretch	262	it would be has great stretch and looks great
757	did n't like material	293	tank it was ribbed did n't like material
758	bust area	202	the exception of the bust area
759	if	187	look good on you if you have a
760	colorful	268	comfortable sexy colorful
761	great long cami	444	great long cami love the stones
762	order again	91	described i would totally order again the only thing
763	started breaking apart	351	third wearing the lace started breaking apart and pilling i
764	it	364	not happy i did it 's huge still
765	fits very tight	81	ordered other colors it fits very tight and is great
766	within days	70	it shipped to me within days and i received
767	tight on the top	256	it was n't so tight on the top also did n't
768	print	252	l love it the print is great even
769	away	350	going to give it away
770	tighter	345	the replacements are much tighter and hence ride
771	little pricey	384	tees these are a little pricey but the way
772	beautiful material	247	love this shirt beautiful material
773	frustrating	126	sizes run small very frustrating
774	wrong	60	n't get my size wrong
775	looked amazing	64	fit and my daughter looked amazing this morning on
776	thrilled	126	cami 's i was thrilled with all the
777	wrote	132	i already wrote a review
778	probably fit	32	medium a small would probably fit you
779	received	391	received it with holes
780	made well	326	the top is made well and fits well
781	very nice top	236	very nice top fits great
782	ca n't wear it	431	see through so i ca n't wear it without something over
783	fit quality	158	very disappointed with the fit quality of the shirt
784	many compliments	236	and flowy i got many compliments just long enough
785	shelf bras	92	i like the shelf bras very much however
786	good jersey quality	187	a b up top good jersey quality super fast shipping
787	sweaters	88	stands up well under sweaters and vests always
788	unwearable	490	it it then became unwearable the fabric shrunk
789	not too tight	390	still somewhat fitted but not too tight i 'm small
790	excellent quality	434	gorgeous excellent quality please bring this
791	not the same size	165	it 's not the same size as i expected
792	5 7	62	for a woman about 5 7 and the shirts
793	5 2	4	one she is about 5 2 and this fit
794	younger lady	286	me recommend for a younger lady to wear as
795	wonderful to wear	426	this top is wonderful to wear you just feel
796	fantastic fit	427	fantastic fit comfort and perfect amount
797	dissappointment	127	my head what a dissappointment
798	hide unsightly bulges	345	they are long and hide unsightly bulges being both roomy
799	casual or dressy	347	of top wear for casual or dressy occasion
800	flattering emerald	4	a very pretty and flattering emerald color
802	give	350	picture on going to give it away
803	like it	458	i like it lots very comfortable
804	perfect tee	388	perfect tee to express your
805	prices ca n't be beat	371	for clothes and the prices ca n't be beat it cuts out
806	to large	299	the shirts were way to large for me so
807	fabric is soft	378	for breast cancer the fabric is soft and soothing to
808	great summer shirt	396	great summer shirt with black khakis
809	loops	420	them every day the loops needed to be
810	easy	122	couple wearings but was easy to fix overall
811	first week	15	it un raveled the first week i had it
812	tucked	62	to wear these always tucked in and who
813	straps	120	complaint is that the straps are a bit
814	much larger than described	373	off the product was much larger than described i had to
815	wo n't be disappointed	311	sizing chart and you wo n't be disappointed
816	seller	398	love this seller arrives ahead of
817	surprised	271	i was a little surprised with this shirt
818	reasonable	229	expected & delivered in reasonable length of time
819	nice color	343,296,347	nice color good fit,nice color nice fit,nice color comfortable material
820	not as stretchy	135	for the material is not as stretchy as my other
821	the fabric	23	love the drape of the fabric the price and
822	slimming	282	a big girl very slimming and the material
823	prompt	70	the customer service was prompt and helped me
824	not wear out	1	at home but would not wear out
825	hug	98	and it did n't hug the right areas
826	just what	308	just what i was looking
827	pull	31	cut it does n't pull or gap at
828	did not shrink	248	fit is great and did not shrink when i washed
829	loose	23	perfectly the cut is loose but that 's
830	nice price	477	love it just the right fit nice price too
831	wash will shrink	408	giving it to goodwill wash will shrink all wrong sorry
832	does n't drape	350	it does n't drape on me like
833	do n't buy	200	do n't buy it cheaply made
834	order 2 sizes larger	362	but make sure you order 2 sizes larger than what you
835	ran much larger	325	this top ran much larger than others i
836	tad large	304	but runs just a tad large
837	not thin	345	are thick they are not thin and flimsy i
838	no complaints	101	black shirt prompt delivery no complaints
839	loved this	346	i loved this when i got
840	fun	101	earrings just comfortable and fun you can do
841	comfy material	345	they are a very comfy material and are thick
842	looking fresh	234	outfits it will stay looking fresh all day regardless
843	sizing is way off	198	love the top but sizing is way off
844	flat out fraud	394	mis sizing this is flat out fraud for sells
845	little off	286	the fabric is a little off but no one
846	compression shaping	84	in without being a compression shaping type garment and
847	perfectly washes	150	and it works out perfectly washes and dries nicely
848	would recommend	248	is a product i would recommend
849	wash destroyed it	495	washer bag and the wash destroyed it do n't waste
850	plus size	498	small for a plus size
851	love the top	198	love the top but sizing is
852	ran extremely small	453	top ran extremely small especially if you
853	stylish	123	top very comfortable and stylish great alone or
854	fashion blog	84	i read on a fashion blog about how great
855	when washed	166	love the blouse but when washed it was to
856	fit was	125	was soft and the fit was what i expected
857	outstanding	62	and overall fit were outstanding but they are
858	work well	411	these shirts work well for me easy
859	feel	480,95	top the fit and feel are amazing but,good color and feel
860	worn them	2	cuddl duds and have worn them for years especially
861	fabric is good quality	7	past my hips the fabric is good quality and offers light
862	evening wear	261	highly recommend this for evening wear
863	organic	34	organic or not if
864	quality material	105	quality material well worth the
865	service	492	the service is excellent and
866	tight	179,87	ride up smooth and tight made a huge,this fit perfectly --> slim tight comfortable and soft
867	love the material	309	right size but i love the material i should have
868	super comfortable	216	tailored look fabric is super comfortable irons well
869	waste	495,140	destroyed it do n't waste your money, waste of $
870	thank you	428	every chance i get thank you
871	wrapped	420	loops needed to be wrapped two or three
872	ill constructed	471	product is too small ill constructed
873	winter layering	6	soft base for winter layering
874	shrank	260	nice quality cotton shrank when i washed
875	cheap material	498	small for a plus size cheap material
876	just as described aaa	146	just as described aaa +
877	fabric is stiff	408	n trendy too bad fabric is stiff n heavy cant
878	wash well	169	of a uniform they wash well and wear well
879	all seasons	222	perfect can wear it all seasons
880	fit barely	184	this item fit barely but a xl
881	roomy	345	tunics they are very roomy and comfy i
882	shelf	183	expected to have a shelf bra in it
883	flowy	468	looking for a light flowy top this is
884	glad	478	of these and am glad i did so
885	had neither	125	and adjustable straps it had neither which is why
886	problems	201	as i had several problems with it it
887	awkward	452	would have just looked awkward luckily i am
888	fabric and stitch	50	me quality of the fabric and stitch was high for
889	vibrant and beautiful	287	and the yellow is vibrant and beautiful but it is
890	without	84	keeps everything held in without being a compression
891	sizes run big	407	catching purple but the sizes run big
892	flows	466	boobs 38 d and flows over my tummy
893	unraveling	491	the crocheting was already unraveling before i even
894	really nice fitting	311	this is a really nice fitting tank top use
895	fits just right	235	a beautiful color and fits just right
896	bought two	478	i bought two of these and
897	wider than	263	this item was wider than it was tall
898	top strap ripped	454	the right top strap ripped very disappointing
899	extremely comfy	292	big but it is extremely comfy it is a
900	layering	79	perfect for layering
901	sweet price	190	great shirt for a sweet price would buy again
902	men 's style shirt	182	item shipped was a men 's style shirt
903	is n't soft	34	or not if it is n't soft and comfy i
904	would buy again	289	of my tush i would buy again
905	courteous and prompt	95	to order from very courteous and prompt
906	very satisfied	438	know i 'll be very satisfied with it too
907	good weight	237	poly blend has a good weight and does n't
908	love the feel	18	i love the feel of this shirt
909	great material	52	great material i wore it
911	should	408	should of sent it
912	not a plus size shirt	267	lbs & this is not a plus size shirt let alone be
913	larger than expected	226	a bit larger than expected but that 's
914	perfect for exercise	462	i think they are perfect for exercise as well as
916	no shipping	7	a time there is no shipping from tilly or
917	small for	498	small for a plus size
918	looks good	27	fits nicely and it looks good i 'd buy
919	looks great on	297	this top looks great on the color is
920	wish	13	breast size i just wish if it were
921	terrible	453	it has small pads sewn in that where terrible cute design but unless you
922	awesome fit	58	awesome fit very comfortable
923	should 've ordered	482	i should 've ordered a medium
924	not to hot	81	is still comfortable and not to hot i would recommend
925	very small	493	was longer it feels very small and i ordered
