id	phrase	reviewIds	examples sentence fragments
16	fits	430,290,397,84,409,466,232,424,349	i love this shirt fits very comfortable,and it is great fits really well and,exact size and it fits me perfectly fine,would try one it fits exactly as the,it fits even better than,especially in red it fits around my boobs,this blouse fits a bit small,i 'd read it fits me well though,fits and looks great
17	very cute	99,432,429,396,69,367,24,436,365	on time and was very cute on,like it a lot very cute and body hugging,very cute and last pretty,shirt with black khakis very cute,looks like school uniform very cute,it 's very cute a tiny bit,very cute a little smaller,very cute cami the length,very cute sexy wish i got
18	color	254,261,301,341,196,297,338,373	washes up nicely the color has not faded,true to size the color is fabulous i,love it and the color is great,love the color the top is,i wanted and the color is just like,looks great on the color is terriffic and,the summer heat the color is wonderful and,with the quality the color however was lovely
19	cute	398,113,491,401,204,404,82,470	been disappointed clothes are cute on full figures,but the shirt is cute,fine and is actually cute but is an,this shirt is really cute ugh,super cute shirt but the,ever purchased it looked cute but when i,this tank is cute but very very,i though it was cute and comfy enough
20	pretty	159,374,413,118,253,124,354,1,305	it is a very pretty shade of blue,pretty and quality products,on it is very pretty with the lacy,blue color is very pretty and true to,on the skin very pretty blue,nice pink color really pretty the small was,long but its very pretty and comfy,very pretty and comfortable but,very pretty fit well
21	beautiful	89,438,353,26,107,18,64,251	shirt and it is beautiful i would 've,this is a beautiful cami it 's,the product is beautiful and works well,bottom but it is beautiful,beautiful shirt but had,shirt and it is beautiful i would 've,beautiful shirts great fit,this blouse is beautiful
22	material	223,320,334,122,193,286,439	was suppose to be material was flimsy and,i like the material and the purple,fit very well the material is a little,comfortable and soft the material is thicker than,which is great the material is light and,what i expected the material is thicker then,slims me out the material is comfortable too
23	too large	5,370,374,425,19,177,39,333	shapeless medium size was too large even after washing,too large in the body,quality products but way too large it seems like,too large but it is,error end in ordering too large for my frame,comfortable but a little too large to do much,it was a hair too large it 's well,too large not as pictured
24	very disappointed	490,63,16,158,401,386,134	out of the question very disappointed with this purchase,very disappointed i ordered a,runs large i was very disappointed that i needed,of an extra large very disappointed with the fit,a refund i was very disappointed because this shirt,nothing for ones figure very disappointed,i was very disappointed in the fit
25	large	63,51,210,170,116,76	disappointed i ordered a large when i pulled,for the large size it is,the fit is somewhat large so make sure,quality blouse it is large on me and,like a child 's large,it was both large and dirty when
26	expected	125,409,181,361,193,217	fit was what i expected,even better than i expected it is comfortable,was larger than i expected,looked nothing like i expected the draped part,shirt fits as i expected it to which,color not what i expected
27	fabric	56,308,180,183,249,392	the quality of the fabric i washed it,in a plus size fabric is good style,the style however the fabric is on the,fits well & the fabric is great so,are very different the fabric is a lot,the fabric is thick and
28	disappointed	56,306,86,147,249,216	for me i was disappointed in the quality,i was disappointed in the fabric,the gym i was disappointed with the sizing,one on amazon rather disappointed but not worth,i was disappointed with the fit,of the shirts was disappointed with the clay
