12	camera	187,338,383,277,61,462,92,157,137,5	great little camera still use it,purchase i had a camera exactly like this,i need another identical camera,the sound from the camera and it was,much more than a camera phone does now,out i love this camera it 's pretty,pretty good little camera,wonderful little camera keep two batteries,good seller great little camera,I will need to now destroy the camera
13	easy to use	326,450,470,264,415,80,353,419,457,47,405	camera for the price easy to use,takes nice pictiures and easy to use,this camera it is easy to use for the most,and just want an easy to use camera that takes,niece found it fairly easy to use she was n't,come out beautifully very easy to use,help make the camera easy to use it 's a,this camera is easy to use and fits in,this is an easy to use camera and lining,this camera it is compact easy to use and takes sharp,takes great pictures - easy to use
14	use	165,276,277,189,44,66,276,111	camera is easy to use and carry the,weight and easy to use i do not,very nice easy to use i was very,photos and easy to use,is so easy to use,good photos easy to use,so far easy to use and with a,your pocket easy to use and no lens
15	not	75,274,427,125,285,400,394,465	found that olympus has not been one of,back is it does not have stabilized built,day long sounds wonderful not for me good,good photos but is not the perfect quality,it 's not a bad camera,of the image is not what i expected,then the camera would not turn on come,nice features good flash not to good review
16	good camera	369,454,375,192,426,191,51,372,266	good camera for the money,very good camera take great photos,for making such a good camera,good camera for its price,pictures lots of functions good camera,good camera but pictures fuzzy,good camera but eats through,a good camera for partys,good camera good value
17	love this camera	203,85,247,46,245,149,306	love this camera used it underwater,i love this camera once i figured,wide angle lens i love this camera i always get,purchase this used one love this camera and it is,love this camera so much when,i love this camera i 've been,i love this camera if i want
18	broke	424,329,291,338,389,174	broke after a few,focus on mine is broke i have to,this camera broke not long after,dropped it recently and broke the lens i,battery cover broke and water damaged,expired it leaked and broke
19	loved it	333,152,467,23,229,76	my wife loved it,one of these and loved it i 'm definitely,great camera my wife loved it,for my wife she loved it and uses it,loved it while it worked,was in college he loved it
20	clear	252,274,249,429,166,274	up underwater pictures are clear and does an,i was amazed its clear and crisp pictures,are always crisp and clear it is a,never seem to get clear pictures on a,everyone raves about how clear and sharp the,mode the camera takes clear and crisp images
21	amazing	377,214,420,288,288,430	the video capability is amazing the optical zoom,the s90 is an amazing product and this,amazing good good am,price this thing is amazing a few dead,the results are still amazing especially when plugged,this camera it takes amazing pictures and i
22	recommend	254,470,411,428,286,469	to something worse sigh recommend it sure will,camera and i 'd recommend this to friends,great i recommend it,photos i would definitely recommend this nikon,there is much to recommend it,very good product i recommend
23	best camera	355,117,234,295,86,301,158	this is the best camera i have ever,best camera i ever had,best camera in price range,this is the best camera i 've ever,the best camera i have ever,one of the best camera i ever tried,one of the best camera really happy with it
24	love it	117,196,211,136,250,109	clients and for youtube love it,on amazon but i love it the battery cover,for years and we love it we especially wanted,camera works great now love it mine is the,love it dose every thing,look used at all love it
25	very happy	265,53,116,122,71,244,9	a replacement i am very happy with it,bright sun i am very happy with it,quick shipping i 'm very happy with this purchase,expected and i am very happy with it,very happy takes excellent pictures,i 'm very happy with this nice,fast delivery very happy with purchase
26	perfect	377,125,257,476,260,302,108	is is almost the perfect camera that exception,but is not the perfect quality of the,these objects came congratulations perfect and they were,size is awesome and perfect pics come out,lens this z33wp was perfect it went in,this camera is the perfect blend of slr,it was perfect - good price and in wonderful
27	fine	391,493,135,53,279,439	it fine but i find,it was fine while it worked,worked the pictures were fine,works fine takes good pictures,and gaskets work just fine,can use it just fine i was able
28	zoom	390,243,121,353,144	do n't need to zoom in a lot,does n't focus the zoom is way slow,complaint about it the zoom was detailed with,camera has i. e. zoom and macro and,have as good a zoom and does n't
29	great price	38,8,106,488,315	even better than expected great price,great price for the camera,on amazon at a great price,camera great pictures and great price,great price and swift response
30	nice	350,257,200,156,41	it 's a nice digital camera very,and they were very nice thank you send,wow this is a nice camera always and,nice and sexy looking,nice camera delivery on
